date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
08:35:45	38758/38758	------	200	untouched ('OK')	text/html	date:Fri,%2016%20Sep%202016%2014:09:11%20GMT	http://www.w3schools.com/tags/canvas_rect.asp	C:/My%20Web%20Sites/W3SKUL/www.w3schools.com/tags/canvas_rect.html	(from http://www.w3schools.com/tags/ref_canvas.asp)
08:35:45	37131/37131	------	200	untouched ('OK')	text/html	date:Fri,%2016%20Sep%202016%2014:42:00%20GMT	http://www.w3schools.com/tags/canvas_fillrect.asp	C:/My%20Web%20Sites/W3SKUL/www.w3schools.com/tags/canvas_fillrect.html	(from http://www.w3schools.com/tags/ref_canvas.asp)
08:35:45	37142/37142	------	200	untouched ('OK')	text/html	date:Fri,%2016%20Sep%202016%2014:37:41%20GMT	http://www.w3schools.com/tags/canvas_strokerect.asp	C:/My%20Web%20Sites/W3SKUL/www.w3schools.com/tags/canvas_strokerect.html	(from http://www.w3schools.com/tags/ref_canvas.asp)
08:35:45	37125/37125	------	200	untouched ('OK')	text/html	date:Fri,%2016%20Sep%202016%2014:37:03%20GMT	http://www.w3schools.com/tags/canvas_clearrect.asp	C:/My%20Web%20Sites/W3SKUL/www.w3schools.com/tags/canvas_clearrect.html	(from http://www.w3schools.com/tags/ref_canvas.asp)
08:35:45	36543/36543	------	200	untouched ('OK')	text/html	date:Fri,%2016%20Sep%202016%2014:47:05%20GMT	http://www.w3schools.com/tags/canvas_fill.asp	C:/My%20Web%20Sites/W3SKUL/www.w3schools.com/tags/canvas_fill.html	(from http://www.w3schools.com/tags/ref_canvas.asp)
08:35:45	36231/36231	------	200	untouched ('OK')	text/html	date:Fri,%2016%20Sep%202016%2014:21:14%20GMT	http://www.w3schools.com/tags/canvas_stroke.asp	C:/My%20Web%20Sites/W3SKUL/www.w3schools.com/tags/canvas_stroke.html	(from http://www.w3schools.com/tags/ref_canvas.asp)
08:35:46	36651/36651	------	200	untouched ('OK')	text/html	date:Fri,%2016%20Sep%202016%2014:35:58%20GMT	http://www.w3schools.com/tags/canvas_beginpath.asp	C:/My%20Web%20Sites/W3SKUL/www.w3schools.com/tags/canvas_beginpath.html	(from http://www.w3schools.com/tags/ref_canvas.asp)
08:35:46	36725/36725	------	200	untouched ('OK')	text/html	date:Fri,%2016%20Sep%202016%2014:25:35%20GMT	http://www.w3schools.com/tags/canvas_moveto.asp	C:/My%20Web%20Sites/W3SKUL/www.w3schools.com/tags/canvas_moveto.html	(from http://www.w3schools.com/tags/ref_canvas.asp)
08:35:46	37484/37484	------	200	untouched ('OK')	text/html	date:Fri,%2016%20Sep%202016%2014:33:40%20GMT	http://www.w3schools.com/tags/canvas_closepath.asp	C:/My%20Web%20Sites/W3SKUL/www.w3schools.com/tags/canvas_closepath.html	(from http://www.w3schools.com/tags/ref_canvas.asp)
08:35:46	46345/46345	---M-Z	200	added ('OK')	text/html	date:Mon,%2019%20Sep%202016%2014:21:10%20GMT	http://www.w3schools.com/cssref/css3_pr_column-gap.asp	C:/My%20Web%20Sites/W3SKUL/www.w3schools.com/cssref/css3_pr_column-gap.html	(from http://www.w3schools.com/cssref/default.asp)
08:35:46	37807/37807	------	200	untouched ('OK')	text/html	date:Fri,%2016%20Sep%202016%2014:18:03%20GMT	http://www.w3schools.com/tags/canvas_lineto.asp	C:/My%20Web%20Sites/W3SKUL/www.w3schools.com/tags/canvas_lineto.html	(from http://www.w3schools.com/tags/ref_canvas.asp)
08:35:46	36652/36652	------	200	untouched ('OK')	text/html	date:Fri,%2016%20Sep%202016%2014:41:27%20GMT	http://www.w3schools.com/tags/canvas_clip.asp	C:/My%20Web%20Sites/W3SKUL/www.w3schools.com/tags/canvas_clip.html	(from http://www.w3schools.com/tags/ref_canvas.asp)
08:35:46	38452/38452	------	200	untouched ('OK')	text/html	date:Fri,%2016%20Sep%202016%2014:42:10%20GMT	http://www.w3schools.com/tags/canvas_quadraticcurveto.asp	C:/My%20Web%20Sites/W3SKUL/www.w3schools.com/tags/canvas_quadraticcurveto.html	(from http://www.w3schools.com/tags/ref_canvas.asp)
08:35:46	39148/39148	------	200	untouched ('OK')	text/html	date:Fri,%2016%20Sep%202016%2014:20:33%20GMT	http://www.w3schools.com/tags/canvas_beziercurveto.asp	C:/My%20Web%20Sites/W3SKUL/www.w3schools.com/tags/canvas_beziercurveto.html	(from http://www.w3schools.com/tags/ref_canvas.asp)
08:35:46	38502/38502	------	200	untouched ('OK')	text/html	date:Fri,%2016%20Sep%202016%2014:21:23%20GMT	http://www.w3schools.com/tags/canvas_arc.asp	C:/My%20Web%20Sites/W3SKUL/www.w3schools.com/tags/canvas_arc.html	(from http://www.w3schools.com/tags/ref_canvas.asp)
